input_value,output_value
-0.6108652381980153,-0.8603150182879187
-0.603883921190038,-0.8460992233864619
-0.5969026041820606,-0.832227172370847
-0.5899212871740833,-0.8186682427301788
-0.582939970166106,-0.8053958552886904
-0.5759586531581287,-0.7923867671865743
-0.5689773361501514,-0.7796205159354122
-0.5619960191421741,-0.7670789769085715
-0.5550147021341968,-0.7547460072281389
-0.5480333851262195,-0.7426071563058789
-0.5410520681182421,-0.7306494284140364
-0.5340707511102648,-0.7188610863059512
-0.5270894341022875,-0.707231487542586
-0.5201081170943102,-0.695750947112777
-0.5131268000863328,-0.684410621369187
-0.5061454830783555,-0.6732024093774918
-0.4991641660703782,-0.6621188685931134
-0.4921828490624009,-0.6511531424055494
-0.4852015320544236,-0.6402988975737527
-0.4782202150464463,-0.6295502699534623
-0.47123889803846897,-0.6189018172139722
-0.46425758103049164,-0.6083484774765919
-0.4572762640225143,-0.5978855329942734
-0.450294947014537,-0.5875085781430176
-0.44331363000655966,-0.5772134911161411
-0.43633231299858233,-0.566996408812309
-0.42935099599060506,-0.5568537044882387
-0.4223696789826277,-0.546781967813839
-0.4153883619746504,-0.5367779870218756
-0.4084070449666731,-0.5268387328902984
-0.4014257279586958,-0.5169613443323131
-0.39444441095071847,-0.507143115402025
-0.38746309394274114,-0.49738148354967926
-0.3804817769347638,-0.4876740189825277
-0.3735004599267865,-0.4780184150074325
-0.36651914291880916,-0.4684124792464939
-0.3595378259108319,-0.4588541256316212
-0.35255650890285456,-0.44934136709503303
-0.34557519189487723,-0.43987230888350126
-0.3385938748868999,-0.4304451424325295
-0.33161255787892263,-0.4210581397440798
-0.3246312408709453,-0.41170964821828004
-0.317649923862968,-0.40239808589523385
-0.31066860685499065,-0.3931219370676615
-0.3036872898470133,-0.38387974822976734
-0.296705972839036,-0.3746701243311543
-0.2897246558310587,-0.36549172530844487
-0.2827433388230814,-0.3563432628694798
-0.27576202181510406,-0.3472234975081152
-0.26878070480712674,-0.3381312357296027
-0.2617993877991494,-0.3290653274684985
-0.25481807079117214,-0.3200246636832009
-0.2478367537831948,-0.3110081741121782
-0.24085543677521748,-0.3020148251788335
-0.23387411976724015,-0.2930436180331748
-0.22689280275926282,-0.2840935867191323
-0.2199114857512855,-0.27516379645793254
-0.21293016874330822,-0.26625334203848894
-0.2059488517353309,-0.25736134630658647
-0.19896753472735357,-0.24848695874545168
-0.19198621771937624,-0.23962935414089603
-0.1850049007113989,-0.23078773132490227
-0.17802358370342164,-0.22196131199178026
-0.1710422666954443,-0.21314933958182802
-0.16406094968746698,-0.20435107822761278
-0.15707963267948966,-0.19556581175856103
-0.15009831567151233,-0.1867928427596519
-0.14311699866353506,-0.17803149168067733
-0.13613568165555773,-0.16928109599245733
-0.1291543646475804,-0.16054100938695548
-0.12217304763960307,-0.15181060101823896
-0.11519173063162574,-0.14308925478167378
-0.10821041362364847,-0.13437636862885594
-0.10122909661567114,-0.1256713539157701
-0.09424777960769382,-0.11697363478222389
-0.08726646259971649,-0.10828264756047279
-0.08028514559173916,-0.09959784021102713
-0.07330382858376183,-0.09091867178410684
-0.0663225115757845,-0.08224461190504417
-0.059341194567807176,-0.073575140282089
-0.05235987755982996,-0.06490974623512358
-0.04537856055185263,-0.05624792824426361
-0.038397243543875303,-0.04758919351666435
-0.031415926535897976,-0.03893305757080867
-0.024434609527920648,-0.030279043836823227
-0.01745329251994332,-0.021626683272057967
-0.010471975511965992,-0.012975513990819643
-0.003490658503988664,-0.004325080907410239
0.003490658503988664,0.004325064608353231
0.010471975511965992,0.012975365064358167
0.01745329251994332,0.021626257167695274
0.024434609527920537,0.03027817213715481
0.031415926535897865,0.03893153600539217
0.03839724354387519,0.04758676991283299
0.04537856055185252,0.05624429039312959
0.05235987755982985,0.06490450965124177
0.059341194567807176,0.07356783583444222
0.0663225115757845,0.08223467329691721
0.07330382858376183,0.0909054228583913
0.08028514559173916,0.09958048205751224
0.08726646259971649,0.10826024540007038
0.09424777960769382,0.11694510460302804
0.10122909661567103,0.12563544883433841
0.10821041362364836,0.13433166494938104
0.11519173063162569,0.14303413772422283
0.12217304763960302,0.15174325008622228
0.12915436464758034,0.1604593833423579
0.13613568165555767,0.16918291740569094
0.143116998663535,0.17791423102042442
0.15009831567151233,0.18665370198588788
0.15707963267948966,0.19540170737989143
0.16406094968746698,0.2041586237818178
0.1710422666954443,0.21292482749588243
0.17802358370342153,0.22170069477495616
0.18500490071139886,0.23048660204533122
0.19198621771937618,0.23928292613283886
0.1989675347273535,0.24809004449077737
0.20594885173533084,0.2569083354300166
0.21293016874330817,0.2657381783516819
0.2199114857512855,0.27457995398301704
0.22689280275926282,0.2834340446165968
0.23387411976724015,0.29230083435366816
0.24085543677521748,0.30118070935180963
0.2478367537831947,0.3100740580776264
0.254818070791172,0.31898127156486816
0.26179938779914935,0.32790274367846156
0.2687807048071267,0.33683887138521795
0.275762021815104,0.34579005503152704
0.28274333882308134,0.35475669862884485
0.28972465583105866,0.3637392101474919
0.296705972839036,0.3727380018195009
0.3036872898470133,0.3817534904512246
0.31066860685499065,0.3907860977462641
0.317649923862968,0.39983625063984496
0.3246312408709452,0.40890438164504966
0.3316125578789225,0.41799092921218184
0.33859387488689985,0.4270963381018685
0.3455751918948772,0.43622105977306763
0.3525565089028545,0.4453655527869951
0.35953782591083183,0.4545302832280362
0.36651914291880916,0.4637157251429452
0.3735004599267865,0.47292236099941826
0.3804817769347638,0.4821506821656301
0.38746309394274114,0.49140118941200955
0.39444441095071836,0.5006743934368569
0.4014257279586957,0.5099708154175967
0.408407044966673,0.5192909875892394
0.41538836197465034,0.5286354538521669
0.42236967898262767,0.5380047704113208
0.429350995990605,0.5473995064488636
0.43633231299858233,0.5568202448329007
0.44331363000655966,0.5662675828648343
0.450294947014537,0.575742133068067
0.4572762640225143,0.5852445240212774
0.46425758103049164,0.5947754012394377
0.47123889803846897,0.6043354281061678
0.4782202150464463,0.6139252868614496
0.4852015320544236,0.6235456796487162
0.49218284906240095,0.6331973296260978
0.4991641660703783,0.6428809821468059
0.5061454830783554,0.652597406014
0.5131268000863327,0.6623473948163217
0.52010811709431,0.6721317683503755
0.5270894341022874,0.681951374137603
0.5340707511102647,0.6918070890429986
0.541052068118242,0.7016998210047705
0.5480333851262194,0.7116305108838343
0.5550147021341967,0.7216001344439985
0.561996019142174,0.7316097044741751
0.5689773361501513,0.7416602730650822
0.5759586531581287,0.7517529340548039
0.582939970166106,0.7618888256581966
0.5899212871740833,0.7720691332980445
0.5969026041820606,0.7822950926561937
0.603883921190038,0.7925679929666869
0.6108652381980153,0.8028891805740695
0.6178465552059926,0.8132600627834486
0.62482787221397,0.8236821120321092
0.6318091892219473,0.8341568704153992
0.6387905062299246,0.844685954604598
0.6457718232379019,0.8552710611982757
0.6527531402458793,0.8659139725548237
0.6597344572538564,0.8766165631592274
0.6667157742618337,0.8873808065849521
0.673697091269811,0.8982087831195881
0.6806784082777884,0.9091026881325692
0.6876597252857657,0.9200648412745766
0.694641042293743,0.9310976966107185
0.7016223593017203,0.9422038538052637
0.7086036763096977,0.9533860704931981
0.715584993317675,0.9646472759947051
0.7225663103256523,0.9759905865539394
0.7295476273336297,0.9874193223122478
0.736528944341607,0.9989370262617985
0.7435102613495843,1.0105474854667167
0.7504915783575616,1.0222547548902807
0.757472895365539,1.0340631842267487
0.7644542123735163,1.0459774482109203
0.7714355293814936,1.0580025809685072
0.778416846389471,1.0701440150812804
0.7853981633974483,1.0824076261769175
